DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
cidofovir vial,Chickenpox,3.0,,,
cilostazol,Complications of Liver & Bile Ducts due to Cystic Fibrosis,3.0,,,
ciloxan drops,Inflammation with Fibrous Tissue Formation of Bile Ducts,3.0,,,
ciloxan ointment,Symptoms because a person has Stopped Smoking,3.0,,,
cimetidine,Chronic Joint Inflammatory Disease in Children and Young Adults of Unknown Cause,3.0,,,
cimetidine (bulk) powder,Bleeding in Hemophilia A,3.0,,,
cimetidine solution,Inflammation of Multiple Voluntary Muscles,3.0,,,
cimzia 400 mg/2 ml (200 mg/ml x 2) subcutaneous syringe kit,Treatment of Staphylococcal Osteomyelitis with More Than One Medication,3.0,,,
cimzia kit,Blood Clotting Disorder from Clotting Factor IX,3.0,,,
cimzia syringe kit,Dilated Pupils During Eye Surgery,3.0,,,
cinacalcet hcl,Sore Mouth due to Dentures or Poor Oral Hygiene,3.0,,,
cinnamon,Infection caused by the Parasite Balantidium,3.0,,,
cinnamon oil,Ureteral Spasm with Pain,3.0,,,
cinqair vial,Early Stage of Syphilis with No Symptoms,3.0,,,
cinryze vial,Scleroderma Lung Disease,3.0,,,
cipro,Neuroleptic Malignant Syndrome,3.0,,,
"cipro hc suspension, drops (final dose form)",Intestine Infection due to the Shigella Bacteria,3.0,,,
"cipro suspension, microcapsule reconstituted",Type of Leukemia - Hairy Cell Leukemia,3.0,,,
cipro xr,Treatment to Prevent Anthrax following Exposure to Disease,3.0,,,
"ciprodex suspension, drops (final dose form)",Disease of the Mouth and Eyes Marked by Blisters,3.0,,,
ciprofloxacin,Pyoderma Gangrenosum,3.0,,,
ciprofloxacin (bulk) 100 % powder,Ovarian Germ Cell Cancer,3.0,,,
ciprofloxacin er,episodic cluster headache,3.0,,,
ciprofloxacin hcl,High Amount of Calcium in the Blood,3.0,,,
"ciprofloxacin hcl dropperette, single use dropper",Poisoning by the Heart Medication Digitalis,3.0,,,
ciprofloxacin hcl drops,Polyarticular Juvenile Idiopathic Arthritis,3.0,,,
ciprofloxacin hcl ointment,A Breaking Out of the Skin Resembling Acne,3.0,,,
ciprofloxacin vial,Water On the Brain with Obstruction of Cerebrospinal Fluid,3.0,,,
"ciprofloxacin-d5w solution, intravenous piggyback",Testicular Germ Cell Cancer,3.0,,,
"ciprofloxacin-dexamethasone drops, suspension",Anxiety associated with an Operation,3.0,,,
cisplatin vial,"Depression associated with Bipolar Disorder, Adjunct Treatment",3.0,,,
citalopram hbr,Male Infertility,3.0,,,
citracal + d,Anaerobic Bacteria Infection of Abdominal Cavity Lining,2.0,,,
citracal + d maximum,Complicated Peritonitis caused by Pseudomonas Aeruginosa,2.0,,,
citracal-vitamin d tablet,Anemia in Chronic Kidney Disease,2.0,,,
citranatal assure,Generalized Attack of Muscular Weakness,2.0,,,
citric acid granules,Medullary Thyroid Cancer,2.0,,,
citroma,Inadequate Vitamin C,2.0,,,
citrucel (sucrose) oral powder,Water on the Brain caused by Hemorrhage in the Brain,2.0,,,
citrucel sugar free oral powder,Inherited Periodic Paralysis,2.0,,,
citrus calcium-vitamin d,Overdose of the Drug Acetaminophen,2.0,,,
cla,Runny Nose Due to Grass Pollen,2.0,,,
cladribine vial,non-metastatic castration-resistant prostate cancer,2.0,,,
claravis,Infection caused by the Bacteria Listeria Monocytogenes,2.0,,,
clarinex,Infection due to the Parasite Toxoplasma Gondii,2.0,,,
clarinex-d 12 hour,Multiple Polyps in the Colon,2.0,,,
"clarispray spray, suspension",Inflammation in Pelvic Area caused by Anaerobic Bacteria,2.0,,,
clarithromycin,Poisoning from Swallowed Unknown Substance,2.0,,,
clarithromycin (bulk) 100 % powder,Nerve Pain of Tongue and Throat from 9th Cranial Nerve,2.0,,,
clarithromycin er,Upper Limb Muscle Spasm,2.0,,,
"clarithromycin suspension, reconstituted",Infection caused by the Bacteria Streptococcus,2.0,,,
claritin,Added Therapy to Improve Treatment of Melanoma,2.0,,,
claritin capsule,Respiratory Syncytial Virus Pneumonia Prevention,2.0,,,
claritin tablet,Decreased Muscle Tone,2.0,,,
claritin-d 12 hour,Sucrase-Isomaltase Enzyme Deficiency from Birth,2.0,,,
claritin-d 24 hour,Uncontrolled Urination Due to Bladder Overactivity,2.0,,,
clear eyes complete drops,Chronic Slow Progressing Ulcerative Granulomatous Disease,2.0,,,
clear eyes itchy eye relief drops,Acute Monocytic Leukemia,2.0,,,
clear eyes redness relief drops,Pure Red Cell Aplasia associated with Chronic Lymphocytic Leukemia,2.0,,,
"clearasil daily clear cleanser keratolytics (topical), general",Gonorrhea Infection of the Throat,2.0,,,
clearlax 17 gram/dose oral powder,Inadequate Gonadotropin Secretion causing Hypogonadism,2.0,,,
clemastine fumarate,Treatment to Prevent Nausea and Vomiting,2.0,,,
clenpiq,Sudden Rapid Heartbeat-Paroxysmal Ventricular Tachycardia,2.0,,,
cleocin cream with applicator,Insertion of a Tube Into the Intestine or Stomach,2.0,,,
cleocin hcl,Infection due to Salmonella paratyphi Bacteria,2.0,,,
"cleocin phosphate in d5w solution, intravenous piggyback",Prevention of Rabies,2.0,,,
cleocin phosphate vial with threaded port,CT Scan of the Brain,2.0,,,
"cleocin suppository, vaginal",Flat Wart,2.0,,,
cleocin t lotion,Leprosy,2.0,,,
cleviprex vial,Infection due to a Brucella Bacteria,2.0,,,
"climara patch, transdermal weekly",Syndrome After Rapid Passage of Food Into Small Intestine,2.0,,,
"climara pro patch, transdermal weekly",Diabetic Ketoacidosis,2.0,,,
"clindacin etz swab, medicated",Hemophilia A,2.0,,,
"clindacin p swab, medicated",Breast Tenderness,2.0,,,
clindacin pac kit,Nausea and Vomiting After Surgery,2.0,,,
clindagel gel,Infection of the Middle Ear caused by Staphylococcus,2.0,,,
clindamycin hcl,Excessive Urinary Excretion of the Amino Acid Cystine,2.0,,,
clindamycin hcl (bulk) powder,Ornithine Carbamoyltransferase Deficiency,2.0,,,
clindamycin pediatric,Atypical Hemolytic Uremic Syndrome,2.0,,,
"clindamycin pediatric solution, reconstituted",Absence of Breathing in the Newborn,2.0,,,
clindamycin phos-skin clnsr 19 kit,Hardening of Liver and Blockage of Bile Ducts,2.0,,,
clindamycin phosphate (bulk) powder,Bacterial Meningitis caused by Staphylococcus,2.0,,,
clindamycin phosphate cream with applicator,Red Lesions of Skin caused by Group A Streptococcus,2.0,,,
"clindamycin phosphate cream, extended release",Pompe Disease,2.0,,,
clindamycin phosphate gel,Suppression of the Gag Reflex,2.0,,,
clindamycin phosphate suppository,Infection due to Rickettsia Prowazekii Bacteria,2.0,,,
clindamycin phosphate vial with threaded port,Infection caused by Rickettsiae Bacteria,2.0,,,
"clindamycin phosphate-d5w solution, intravenous piggyback",Chylothorax,2.0,,,
"clindesse cream, extended release",Recurrent or Resistant to Treatment Non-Hodgkin's Lymphoma,2.0,,,
clinimix 4.25 % in 20 dextrose (sulfite-free) intravenous solution,Inflammation of the Outer Ear due to Allergy,2.0,,,
clinimix e 4.25 % in 25 dextrose sulfite free intravenous solution,Carcinoma In Situ of the Glans Penis,2.0,,,
clinpro 5000 paste,Complicated Skin Infection due to Proteus Bacteria,2.0,,,
clobazam,Dry Eyes due to Vitamin A Deficiency,2.0,,,
clobazam film,Blockage of Central Blood Vein in Eye's Retina with Edema,2.0,,,
clobetasol emollient cream,Skin Infection due to Streptococcus Agalactiae Bacteria,2.0,,,
clobetasol emulsion foam,Increased Calcium in Blood due to Parathyroid Cancer,2.0,,,
clobetasol propionate (bulk) powder,Complicated Skin Infection due to Strep. Pyogenes Bacteria,2.0,,,
clobetasol propionate foam,Struvite Kidney Stones,2.0,,,
clobetasol propionate gel,Infection caused by the Fungus Scedosporium Apiospermum,2.0,,,
clobetasol propionate lotion,Chronic Phase Philadelphia Chromosome Positive Chronic Myelocytic Leukemia,2.0,,,
clobetasol propionate shampoo,Primary Testicular Failure due to Torsion of Both Testis,2.0,,,
"clobetasol propionate solution, non-",Unusually Late Sexual Maturity,2.0,,,
"clobetasol propionate spray, non-aerosol",Eye infection Caused by Bacteria,2.0,,,
clobex lotion,Bacterial Pneumoniae caused by Klebsiella Pneumoniae,2.0,,,
clobex shampoo,Regional Anesthesia for Labor Pain,2.0,,,
"clobex spray, non-aerosol",Infection due to the Microorganism Coxiella Burnetii,2.0,,,
clocortolone pivalate cream,Inflammation of a Hair Follicle,2.0,,,
cloderm cream,Neutrophils Decreased by Medication,2.0,,,
clomiphene citrate,Human Bite Wound,2.0,,,
clomiphene citrate (bulk) 100 % powder,Colorectal Carcinoma with Epidermal Growth Factor,2.0,,,
clomipramine hcl,Treatment to Prevent Reaction After Bone Marrow Transplant,2.0,,,
clonazepam,Deficiency of Antibodies,2.0,,,
clonazepam (bulk) 100 % powder,Progressive Diffuse Large B-Cell Lymphoma,2.0,,,
"clonazepam tablet,disintegrating",Severely Decreased Function of the Cortex of Adrenal Gland,2.0,,,
"clonidine (pf) 1,000 mcg/10 ml (100 mcg/ml) epidural solution central adrenolytics",Infection due to the Microorganism Chlamydia Psittaci,2.0,,,
clonidine hcl,Acute Gonorrhea of the Testes,2.0,,,
clonidine hcl (bulk) powder,Bacteroides Infection Following Vaginal Cuff Surgery,2.0,,,
clonidine hcl er,Deficiency of Pantothenic Acid a B Complex Group Vitamin,2.0,,,
"clonidine patch, transdermal weekly",Non-Q Wave Heart Attack,2.0,,,
clopidogrel,Irregular Heart Rhythm due to the Drug Digitalis,2.0,,,
clorazepate dipotassium,Tuberculosis of Lungs which Spreads to Other Body Parts,2.0,,,
"clorpactin wcs-90 solution, reconstituted, non-",Inflammation of the Cornea due to Exposure to the Air,2.0,,,
clotrimazole (bulk) powder,Inflammation of Cornea due to Improper Closing of the Eye,2.0,,,
clotrimazole 3 cream with applicator,Inflammation of the Sac in which Tears are Collected,2.0,,,
clotrimazole af cream,Severe Combined Immunodeficiency Disease,2.0,,,
clotrimazole cream with applicator,Abnormal Development of Bronchopulmonary Tissue in Newborn,2.0,,,
"clotrimazole solution, non-",Excess Absorption of Diet Plant and Shellfish Sterols and Cholesterol,2.0,,,
clotrimazole troche,Herpes Simplex Infection,2.0,,,
clotrimazole-7 cream with applicator,Malaria Prevention,2.0,,,
clotrimazole-betamethasone lotion,Female Hormone Disturbance,2.0,,,
clove oil (bulk),Abscess of Fallopian Tube and Ovary caused by Bacteroides,2.0,,,
clozapine odt,An Infection caused by the Fungus Zygomycetes,2.0,,,
clozaril,Giant Papillary Conjunctivitis,2.0,,,
cnl 8 kit,Chronic Bronchitis caused by Klebsiella Pneumoniae,2.0,,,
co q-10 capsule,Raised Spots on the Cornea of the Eye,2.0,,,
co q-10-vitamin e-fish oil,Presence of Candida Species Yeast in the Blood,2.0,,,
coal tar-salicylic acid liquid,Lymphoma Spread to Brain & Spinal Cord Lining,2.0,,,
coartem,High Grade Dysplasia associated with Barrett's Esophagus,2.0,,,
cocaine hcl crystals,Images of the Brain Produced by X-Ray Techniques,2.0,,,
"cocaine hcl solution, non-",Trench Mouth,2.0,,,
cocoa butter lotion,Diagnostic Test for Asthma,2.0,,,
cocoa butter-zinc oxide suppository,Diagnostic Test For Cushing's Syndrome,2.0,,,
coconut oil,Abdominal Pain and Frequent Stools with Blood & Mucous,2.0,,,
coconut oil (bulk),Food Poisoning caused by Salmonella Bacteria,2.0,,,
coconut oil cream,Infection with Cryptococcus Fungus,2.0,,,
cod liver oil,Complicated Urinary Tract Infection caused by Klebsiella,2.0,,,
codeine phosphate (bulk) 100 % powder,Osteosarcoma that has Not Spread Outside the Bone,2.0,,,
codeine sulfate,Condition Where Part of the Skin Loses Pigment,2.0,,,
coenzyme q10,Methemoglobinemia,2.0,,,
coffee extract tablet,Abdominal Infection due to the Bacteria Actinomyces,2.0,,,
"cogentin 2 mg/2 ml injection solution anticholinergic agents, systemic",Severely Increased Blood Pressure and Edema During Pregnancy,2.0,,,
col-rite,Decreased Blood-Clotting from Low Vitamin K,2.0,,,
colace,Problem Behavior,2.0,,,
colazal,Serious Blood Clotting Problem,2.0,,,
colchicine,Maintain Patency of Indwelling Vascular Catheter,2.0,,,
colchicine 0.6 mg/5 ml oral solution,Pancreatic Tumor causing Excessive Secretion of Insulin,2.0,,,
cold & cough dm,Increased Growth of Islet Cells of Pancreas,2.0,,,
cold relief multi-symptom tablet,Fungal Infection of the Cornea of the Eye,2.0,,,
cold sore treatment solution with applicator,Inflammation and Infection of the Abdomen Lining,2.0,,,
cold-allergy,Epithelial Cancer of Ovary,2.0,,,
cold-allergy pe,Treatment to Prevent Hepatitis B,2.0,,,
colesevelam hcl,Non-24 Hour Sleep-Wake Cycle Disorder,2.0,,,
colestid,Ulcer of the Cornea of the Eye,2.0,,,
colestid packet,Macular Edema,2.0,,,
colestid tablet,Formation of New Blood Vessels in the Choroid of the Eye,2.0,,,
colestipol hcl,Chronic Myelocytic Leukemia in the Blast Crisis Phase,2.0,,,
colestipol hcl packet,Falciparum Malaria Resistant to the Medication Chloroquine,2.0,,,
colistimethate vial,Meningococcal Vaccination,2.0,,,
collagen,Mucous Membrane White Spots or Patches,2.0,,,
"collagen, hydrolysate (bovine) (bulk) 100 % powder",Increased Production of Saliva,2.0,,,
collagenase clos hist. (bulk) powder,Combative and Explosive Behavior,2.0,,,
collagenase clostridium histo. ointment,Sudden Uncontrolled Muscle Contraction with Pain,2.0,,,
colloidal oatmeal cream,Malignant Hyperthermia,2.0,,,
colocort enema,"Painful, Red or Swollen Mouth",2.0,,,
colon herbal cleanser,Infection of Cornea and Conjunctiva due to Herpes Simplex,2.0,,,
colostrum,Insulin-like Growth Factor Disorder,2.0,,,
"coly-mycin s suspension, drops (final dose form)",Colorectal Surgery Infection Prevention,2.0,,,
colyte with flavor packets,Metabolic Process Which Breaks Down Substances in the Body,2.0,,,
combigan drops,neurotrophic keratitis,2.0,,,
"combipatch patch, transdermal semiweekly",Atrial Flutter Electrically Shocked to Normal Rhythm,2.0,,,
combivent respimat mist inhaler,Skin Disease in Patients with Discoid Lupus Erythematosus,2.0,,,
combivir,Viral Disease of Central Nervous System-Creutzfeldt-Jakob,2.0,,,
comfort gel,"Hormone Receptor Positive, HER2 Positive Metastatic Breast Cancer",2.0,,,
compazine,Malaria caused by the Protozoa Plasmodium Vivax,2.0,,,
"compazine suppository, rectal",Prevention of Cardiac Ischemia Following Non-Q Wave MI,2.0,,,
complera,Infection of Urinary Tract due to Providencia Species,2.0,,,
complete allergy,Pneumonia caused by the Bacteria Enterobacter,2.0,,,
complete allergy capsule,Bladder Infection caused by Klebsiella Bacteria,2.0,,,
complete multivitamin,Skin Infection due to Citrobacter Bacteria,2.0,,,
complete multivitamin tablet multivitamins,Anemia Due To Chemotherapy and Radiotherapy Combination,2.0,,,
complete natal dha,Condition with an Abnormal High Amount of Insulin,2.0,,,
"compound w adhesive patch, medicated",Infectious Disease with Relapsing Attacks of High Fever,2.0,,,
compoz,Prevent Poisoning by a Toxic War Gas Inhaled or Absorbed by Skin,2.0,,,
"compro suppository, rectal",Infection of Tissues of the Uterus caused by Bacteroides,1.0,,,
comtan,Nerve Damage caused by Hydrazine Poisoning,1.0,,,
concept dha,Reversal of Neuromuscular Blockade Induced by Nondepolarizing Drug,1.0,,,
concept ob,Presence of Body Lice,1.0,,,
conceptionxr motility,Cancer of the Glands Above the Kidneys,1.0,,,
conceptionxr reproductive,Prevention of Recurrent Bladder Cancer,1.0,,,
conceptrol gel with prefilled applicator,Pain with Advanced Prostate Cancer Resistant to Hormones,1.0,,,
concerta,Intestinal Infection by a Worm - Trichuris Trichiura,1.0,,,
condylox gel,X-Ray of the Bile Ducts,1.0,,,
"condylox solution, non-",X-Ray of Arteries that are Distant From Center of the Body,1.0,,,
congestac,Test for the Presence of Estrogen in the Body,1.0,,,
conj estrog-medroxyprogest ace tablet,Reduction of Allogeneic Blood Transfusion in Surgery,1.0,,,
conj estrogens-bazedoxifene tablet,Bone Infection caused by Serratia Bacteria,1.0,,,
conjugated estrogens cream,Acute Outer Ear Bacterial Infection caused by Proteus Mirabilis,1.0,,,
conjugated estrogens tablet,Decrease in Weight due to HIV Infection,1.0,,,
constulose,Malignant Melanoma with BRAF V600K Mutation,1.0,,,
"contac cold-flu tablet, sequential",CCR5 Tropic HIV Infection,1.0,,,
contrave,A Tapeworm Infection - Taeniasis,1.0,,,
conzip,Pneumonia Acquired from Being Treated In a Hospital,1.0,,,
copaxone syringe,Bacterial Meningitis,1.0,,,
copegus,Inflammation of the Brain caused by Herpes Simplex Virus,1.0,,,
copiktra,Herpes Infection of Brain and Surrounding Tissue,1.0,,,
coq-10,Subependymal Giant Cell Astrocytoma associated with Tuberous Sclerosis,1.0,,,
coq10 (liposomal ubiquinol) liquid,Renal Angiomyolipoma with Tuberous Sclerosis Complex,1.0,,,
cordran ointment,Blood Clot with Heparin-Induced Thrombocytopenia during Percutaneous Coronary Intervention,1.0,,,
"cordran tape, medicated",Diagnostic Test for Myasthenia Gravis,1.0,,,
coreg,Hunter Syndrome,1.0,,,
coreg cr,Increased Uric Acid due to Cancer Chemotherapy,1.0,,,
corgard,Prevent Mucous Membrane Inflammation from Chemotherapy,1.0,,,
coricidin hbp 2 mg-15 mg-500 mg tablet,Chronic Infection of Genotype 6 Hepatitis C Virus,1.0,,,
coricidin hbp cough and cold 4 mg-30 mg tablet,Low Blood Pressure caused by Spinal Anesthesia,1.0,,,
coricidin hbp tablet,Severe Prolonged Asthma Attack,1.0,,,
corlanor,Additional Medication to Treat Hives,1.0,,,
correctol,Anemia caused by Zidovudine,1.0,,,
cortaid cream,Cancer of Large Intestine with Wild-type K-ras Gene,1.0,,,
cortane-b lotion,Disorder of Mental Processes due to a Brain Disease,1.0,,,
cortef,Infection caused by Microsporida Parasite,1.0,,,
cortenema enema,Infection caused by the Worm Toxocara Canis,1.0,,,
corticotropin 80 unit/ml injection gel,Infection caused by the Trichinae Parasite,1.0,,,
"cortifoam aerosol, foam with applicator",Pork Tapeworm Larva Infection of Central Nervous System,1.0,,,
cortisone (bulk) powder,Skin Lesion caused by Worms,1.0,,,
cortisone + cooling relief gel,Low Amount of Albumin Proteins in the Blood,1.0,,,
cortisone acetate,Prevention of Anthrax,1.0,,,
cortisone cream,Ringworm,1.0,,,
cortisporin cream,Ringworm of the Hand,1.0,,,
cortisporin ointment,Blood Clot Prevention with Heparin-Induced Decreased Platelet Count,1.0,,,
"cortisporin-tc 3.3 mg-3 mg-10 mg-0.5 mg/ml ear drops,suspension otic antibiotics",Blood Clot with Platelet Decrease due to Heparin,1.0,,,
cortizone-10 lotion,refractory lung disease due to MAC,1.0,,,
cortizone-10 plus cream,Sinus Bradycardia,1.0,,,
cortrosyn vial,Surgical Removal of Both Testicles,1.0,,,
corvert vial,Skin Test for Tuberculosis,1.0,,,
corvita 150,Adams-Stokes Syndrome,1.0,,,
